# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
0.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
4.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
4.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
6.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
6.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
8.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
8.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
11.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
11.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
12.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
12.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
13.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
13.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
14.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
14.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.500000 4.442233e+16 5.569386e+15 1.219363e+15 3.364518e+16 8.485626e+16
16.000000 5.859850e+16 1.340128e+16 0.000000e+00 5.523226e+16 1.272320e+17
16.500000 7.279795e+16 1.225137e+16 0.000000e+00 4.499334e+16 1.300427e+17
17.000000 7.700518e+16 1.302495e+16 0.000000e+00 5.463001e+16 1.446601e+17
17.500000 7.035880e+16 1.621538e+16 0.000000e+00 5.488691e+16 1.414611e+17
18.000000 6.124061e+16 2.161153e+16 0.000000e+00 6.718079e+16 1.500329e+17
18.500000 6.032306e+16 1.808771e+16 0.000000e+00 6.085297e+16 1.392637e+17
19.000000 6.344780e+16 1.923183e+16 0.000000e+00 7.136356e+16 1.540432e+17
19.500000 6.369943e+16 1.941243e+16 0.000000e+00 6.928108e+16 1.523929e+17
20.000000 5.652355e+16 1.560892e+16 0.000000e+00 6.120813e+16 1.333406e+17
20.500000 7.226595e+16 1.389336e+16 0.000000e+00 6.487153e+16 1.510308e+17
21.000000 5.785522e+16 1.371594e+16 0.000000e+00 6.402655e+16 1.355977e+17
21.500000 5.315512e+16 1.115895e+16 0.000000e+00 5.871732e+16 1.230314e+17
22.000000 5.250092e+16 1.876032e+16 0.000000e+00 6.573642e+16 1.369977e+17
22.500000 3.390397e+16 1.384656e+16 0.000000e+00 3.758753e+16 8.533806e+16
23.000000 3.880797e+16 1.628229e+16 0.000000e+00 4.085049e+16 9.594075e+16
23.500000 3.960867e+16 1.212006e+16 0.000000e+00 3.615308e+16 8.788181e+16
24.000000 5.858523e+16 9.291495e+15 0.000000e+00 3.557183e+16 1.034486e+17
24.500000 4.363315e+16 6.748160e+15 0.000000e+00 4.081767e+16 9.119898e+16
25.000000 4.908249e+16 8.580353e+15 0.000000e+00 4.960745e+16 1.072703e+17
25.500000 6.745229e+16 7.402927e+15 0.000000e+00 4.567209e+16 1.205273e+17
26.000000 6.173764e+16 7.417389e+15 0.000000e+00 4.886455e+16 1.180196e+17
26.500000 5.397139e+16 1.048125e+16 0.000000e+00 4.248891e+16 1.069416e+17
27.000000 5.339420e+16 1.293348e+16 0.000000e+00 3.951197e+16 1.058396e+17
27.500000 4.750955e+16 1.799241e+16 0.000000e+00 4.135751e+16 1.068595e+17
28.000000 4.559662e+16 1.689432e+16 0.000000e+00 2.878270e+16 9.127364e+16
28.500000 4.969910e+16 2.430106e+16 9.995076e+14 4.370410e+16 1.187038e+17
29.000000 5.354704e+16 2.103388e+16 1.517766e+15 4.460445e+16 1.207031e+17
29.500000 6.307903e+16 1.957285e+16 5.918694e+14 3.043491e+16 1.136787e+17
30.000000 5.920614e+16 1.738794e+16 4.198833e+14 3.137765e+16 1.083916e+17
30.500000 5.587215e+16 1.375204e+16 0.000000e+00 4.437590e+16 1.140001e+17
31.000000 4.836615e+16 1.620548e+16 0.000000e+00 6.020802e+16 1.247796e+17
31.500000 7.122081e+16 1.973549e+16 0.000000e+00 9.289762e+16 1.838539e+17
32.000000 5.426654e+16 2.293833e+16 0.000000e+00 6.489370e+16 1.420986e+17
32.500000 7.667358e+16 1.996117e+16 0.000000e+00 5.902975e+16 1.556645e+17
33.000000 6.685245e+16 1.148374e+16 0.000000e+00 4.843704e+16 1.267732e+17
33.500000 4.895587e+16 2.348853e+16 3.519733e+14 4.934300e+16 1.221394e+17
34.000000 4.330558e+16 2.213703e+16 0.000000e+00 4.379878e+16 1.092414e+17
34.500000 5.711437e+16 1.993809e+16 0.000000e+00 4.299648e+16 1.200489e+17
35.000000 4.061368e+16 1.050970e+16 0.000000e+00 4.583359e+16 9.695697e+16
35.500000 4.317012e+16 1.258554e+16 0.000000e+00 4.944584e+16 1.052015e+17
36.000000 5.747948e+16 1.369135e+16 0.000000e+00 2.079757e+16 9.196840e+16
36.500000 4.223588e+16 1.426858e+16 0.000000e+00 2.209701e+16 7.860147e+16
37.000000 5.288724e+16 1.098145e+16 0.000000e+00 2.436614e+16 8.823483e+16
37.500000 5.169506e+16 1.375891e+16 0.000000e+00 2.225474e+16 8.770871e+16
38.000000 3.875056e+16 1.304416e+16 0.000000e+00 3.302231e+16 8.481703e+16
38.500000 3.895806e+16 1.621139e+16 0.000000e+00 4.507216e+16 1.002416e+17
39.000000 4.598743e+16 1.040201e+16 0.000000e+00 3.460325e+16 9.099269e+16
39.500000 5.289560e+16 5.746197e+15 0.000000e+00 5.101323e+16 1.096550e+17
40.000000 7.907093e+16 2.016807e+16 3.369937e+14 5.333962e+16 1.529156e+17
