# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
0.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.050000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.150000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.200000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.250000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.300000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.350000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.400000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.450000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.500000 0.000000e+00 0.000000e+00 0.000000e+00 4.538512e+13 4.538512e+13
15.550000 0.000000e+00 0.000000e+00 0.000000e+00 1.674727e+14 1.674727e+14
15.600000 0.000000e+00 0.000000e+00 0.000000e+00 1.609219e+14 1.609219e+14
15.650000 3.885328e+13 0.000000e+00 2.000408e+13 6.610460e+14 7.199034e+14
15.700000 5.722050e+13 0.000000e+00 0.000000e+00 7.535994e+14 8.108199e+14
15.750000 1.658951e+14 1.241589e+13 1.510452e+14 2.195382e+15 2.524738e+15
15.800000 2.905833e+14 5.814639e+13 2.453632e+14 5.231026e+15 5.825119e+15
15.850000 4.546087e+14 1.950614e+13 5.578250e+14 6.485617e+15 7.517557e+15
15.900000 1.829090e+15 8.741143e+13 9.082675e+14 1.122768e+16 1.405245e+16
15.950000 4.011865e+15 3.759746e+14 1.316980e+15 1.555798e+16 2.126280e+16
16.000000 6.545562e+15 7.668406e+14 1.786066e+15 2.125921e+16 3.035768e+16
16.050000 9.998591e+15 9.256000e+14 1.518128e+15 2.529243e+16 3.773475e+16
16.100000 1.273752e+16 1.077814e+15 1.261456e+15 2.845729e+16 4.353408e+16
16.150000 1.403911e+16 1.514475e+15 1.398767e+15 3.073097e+16 4.768332e+16
16.200000 1.544251e+16 1.412577e+15 1.389117e+15 3.283363e+16 5.107783e+16
16.250000 1.822416e+16 1.591118e+15 1.613957e+15 3.562271e+16 5.705194e+16
16.300000 1.857289e+16 1.892418e+15 1.588746e+15 3.789687e+16 5.995092e+16
16.350000 1.973392e+16 2.329511e+15 1.844711e+15 3.879801e+16 6.270615e+16
16.400000 2.169854e+16 2.481286e+15 1.603633e+15 3.957271e+16 6.535616e+16
16.450000 2.176665e+16 2.674875e+15 1.605247e+15 4.018591e+16 6.623268e+16
16.500000 2.250715e+16 3.140065e+15 1.466960e+15 4.250490e+16 6.961907e+16
16.550000 2.476361e+16 3.145256e+15 1.655745e+15 4.334817e+16 7.291278e+16
16.600000 2.524069e+16 3.328263e+15 1.626200e+15 4.323441e+16 7.342956e+16
16.650000 2.492507e+16 3.654020e+15 1.538317e+15 4.660454e+16 7.672195e+16
16.700000 2.514173e+16 3.912546e+15 1.498016e+15 4.671382e+16 7.726611e+16
16.750000 2.670965e+16 4.263670e+15 1.480006e+15 4.825637e+16 8.070969e+16
16.800000 2.850126e+16 4.386639e+15 1.485978e+15 4.910549e+16 8.347937e+16
16.850000 2.864304e+16 4.561262e+15 1.714861e+15 4.913036e+16 8.404953e+16
16.900000 2.886268e+16 4.708446e+15 1.507888e+15 5.056516e+16 8.564417e+16
16.950000 3.013990e+16 4.762925e+15 1.595010e+15 5.173242e+16 8.823025e+16
17.000000 2.969166e+16 4.827521e+15 1.560940e+15 5.299113e+16 8.907125e+16
17.050000 2.977270e+16 5.478769e+15 1.477606e+15 5.354723e+16 9.027631e+16
