# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
0.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
12.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.050000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.150000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.200000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.250000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.300000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.350000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.400000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.450000 0.000000e+00 0.000000e+00 2.278652e+14 2.219054e+15 2.446919e+15
15.500000 0.000000e+00 0.000000e+00 0.000000e+00 2.163539e+15 2.163539e+15
15.550000 1.599976e+15 3.135288e+14 6.910832e+14 1.006366e+16 1.266825e+16
15.600000 7.502341e+15 1.874347e+15 7.661171e+14 1.603621e+16 2.617902e+16
15.650000 1.675146e+16 2.334375e+15 1.081272e+15 1.759904e+16 3.776615e+16
15.700000 2.128470e+16 4.736056e+15 6.099348e+14 2.513540e+16 5.176609e+16
15.750000 2.520765e+16 3.761843e+15 0.000000e+00 2.132442e+16 5.029391e+16
15.800000 3.032334e+16 4.657592e+15 0.000000e+00 3.188912e+16 6.687005e+16
15.850000 3.134115e+16 4.125602e+15 8.316579e+14 3.796534e+16 7.426375e+16
15.900000 3.397245e+16 3.940779e+15 4.115923e+14 4.023321e+16 7.855803e+16
15.950000 3.190586e+16 5.432812e+15 5.120166e+14 4.144747e+16 7.929816e+16
16.000000 3.214405e+16 6.473460e+15 4.716137e+14 5.343843e+16 9.252755e+16
16.050000 2.901990e+16 8.700901e+15 2.725411e+15 4.845489e+16 8.890110e+16
16.100000 3.999492e+16 8.432561e+15 1.499776e+15 5.372063e+16 1.036479e+17
16.150000 4.058850e+16 6.793610e+15 7.157844e+14 6.007582e+16 1.081737e+17
