# strain(%) 1_3(1-100)_density(m^-2) 1_3(1-210)_density(m^-2) 1_3(1-213)_density(m^-2) other_density(m^-2) total_density(m^-2)
0.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
12.500000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.000000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.250000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
15.500000 9.393479e+13 0.000000e+00 1.294749e+14 1.759291e+15 1.982701e+15
15.750000 1.670259e+16 1.441874e+15 1.558029e+15 3.604509e+16 5.574758e+16
16.000000 2.528644e+16 3.532873e+15 1.520186e+15 5.000113e+16 8.034063e+16
16.250000 3.178982e+16 4.939660e+15 1.367345e+15 5.767961e+16 9.577644e+16
16.500000 3.642357e+16 6.657420e+15 1.285254e+15 6.105777e+16 1.054240e+17
16.750000 4.098865e+16 7.637074e+15 1.299886e+15 6.371743e+16 1.136430e+17
17.000000 4.249988e+16 8.677015e+15 1.459310e+15 6.839023e+16 1.210264e+17
17.250000 4.500559e+16 9.180135e+15 1.430160e+15 7.115207e+16 1.267680e+17
17.500000 4.438040e+16 1.001489e+16 1.687956e+15 7.109832e+16 1.271816e+17
17.750000 4.555510e+16 1.066023e+16 1.482159e+15 7.536355e+16 1.330610e+17
18.000000 4.711671e+16 1.170402e+16 1.631930e+15 7.532792e+16 1.357806e+17
18.250000 5.087868e+16 1.217272e+16 1.385822e+15 8.173961e+16 1.461768e+17
18.500000 5.010880e+16 1.263267e+16 1.703643e+15 7.866117e+16 1.431063e+17
18.750000 5.144193e+16 1.354175e+16 1.439669e+15 8.385200e+16 1.502754e+17
19.000000 5.298816e+16 1.425875e+16 1.466989e+15 8.417816e+16 1.528921e+17
19.250000 5.259708e+16 1.532050e+16 1.529888e+15 8.485479e+16 1.543023e+17
19.500000 5.489302e+16 1.572171e+16 1.571878e+15 8.979411e+16 1.619807e+17
19.750000 5.384486e+16 1.639270e+16 1.711172e+15 8.747539e+16 1.594241e+17
20.000000 5.573384e+16 1.638182e+16 1.695024e+15 9.163424e+16 1.654449e+17
22.500000 6.785886e+16 2.443771e+16 1.902660e+15 1.014310e+17 1.956302e+17
25.000000 7.282510e+16 2.377541e+16 1.630862e+15 1.055388e+17 2.037702e+17
27.500000 7.542153e+16 2.383027e+16 1.013633e+15 9.823182e+16 1.984973e+17
30.000000 7.957842e+16 2.515953e+16 1.277826e+15 9.992674e+16 2.059425e+17
32.500000 8.049747e+16 2.536151e+16 1.249932e+15 9.938807e+16 2.064970e+17
35.000000 8.226582e+16 2.397800e+16 1.159477e+15 1.033226e+17 2.107259e+17
37.500000 8.335116e+16 2.305427e+16 9.041737e+14 9.971484e+16 2.070244e+17
40.000000 8.171183e+16 2.303614e+16 8.875987e+14 9.614702e+16 2.017826e+17
