# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
0.000000 100.000000 0.000000 0.000000 0.000000
0.500000 100.000000 0.000000 0.000000 0.000000
1.000000 100.000000 0.000000 0.000000 0.000000
1.500000 100.000000 0.000000 0.000000 0.000000
2.000000 100.000000 0.000000 0.000000 0.000000
2.500000 100.000000 0.000000 0.000000 0.000000
3.000000 100.000000 0.000000 0.000000 0.000000
3.500000 100.000000 0.000000 0.000000 0.000000
4.000000 100.000000 0.000000 0.000000 0.000000
4.500000 100.000000 0.000000 0.000000 0.000000
5.000000 100.000000 0.000000 0.000000 0.000000
5.500000 100.000000 0.000000 0.000000 0.000000
6.000000 100.000000 0.000000 0.000000 0.000000
6.500000 100.000000 0.000000 0.000000 0.000000
7.000000 100.000000 0.000000 0.000000 0.000000
7.500000 100.000000 0.000000 0.000000 0.000000
8.000000 100.000000 0.000000 0.000000 0.000000
8.500000 100.000000 0.000000 0.000000 0.000000
9.000000 100.000000 0.000000 0.000000 0.000000
9.500000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
10.500000 100.000000 0.000000 0.000000 0.000000
11.000000 100.000000 0.000000 0.000000 0.000000
11.500000 100.000000 0.000000 0.000000 0.000000
12.000000 100.000000 0.000000 0.000000 0.000000
12.500000 100.000000 0.000000 0.000000 0.000000
13.000000 100.000000 0.000000 0.000000 0.000000
13.500000 100.000000 0.000000 0.000000 0.000000
14.000000 100.000000 0.000000 0.000000 0.000000
14.500000 99.985185 0.000000 0.000000 0.014815
15.000000 99.868519 0.000000 0.000000 0.131481
15.500000 80.044444 2.518519 2.026852 15.410185
16.000000 85.729630 2.196296 2.068519 10.005556
16.500000 87.294444 2.065741 2.026852 8.612963
17.000000 88.248148 1.831481 2.080556 7.839815
17.500000 88.221296 1.789815 2.005556 7.983333
18.000000 89.357407 1.572222 1.399074 7.671296
18.500000 90.414815 1.340741 0.928704 7.315741
19.000000 90.835185 1.304630 0.843519 7.016667
19.500000 91.224074 1.365741 0.745370 6.664815
20.000000 91.473148 1.355556 0.562963 6.608333
20.500000 91.253704 1.459259 0.679630 6.607407
21.000000 90.601852 1.550926 1.083333 6.763889
21.500000 90.356481 1.617593 0.895370 7.130556
22.000000 91.243519 1.443519 0.709259 6.603704
22.500000 91.191667 1.560185 0.881481 6.366667
23.000000 91.397222 1.467593 0.821296 6.313889
23.500000 90.558333 1.638889 1.044444 6.758333
24.000000 88.796296 1.966667 1.439815 7.797222
24.500000 87.827778 2.021296 1.530556 8.620370
25.000000 87.504630 1.993519 1.495370 9.006481
25.500000 86.759259 2.142593 1.959259 9.138889
26.000000 87.915741 1.798148 1.695370 8.590741
26.500000 88.287037 1.703704 1.876852 8.132407
27.000000 88.395370 1.758333 1.667593 8.178704
27.500000 88.182407 1.669444 1.599074 8.549074
28.000000 89.868519 1.310185 1.446296 7.375000
28.500000 90.519444 1.199074 1.168519 7.112963
29.000000 90.113889 1.250926 1.506481 7.128704
29.500000 88.551852 1.491667 2.207407 7.749074
30.000000 88.140741 1.601852 2.111111 8.146296
30.500000 88.240741 1.713889 1.715741 8.329630
31.000000 88.710185 1.722222 1.383333 8.184259
31.500000 89.308333 1.599074 1.299074 7.793519
32.000000 89.050000 1.450000 1.369444 8.130556
32.500000 88.364815 1.770370 1.817593 8.047222
33.000000 88.724074 1.646296 1.584259 8.045370
33.500000 89.411111 1.360185 1.087037 8.141667
34.000000 90.388889 1.209259 0.841667 7.560185
34.500000 89.980556 1.430556 0.965741 7.623148
35.000000 89.638889 1.593519 0.950926 7.816667
35.500000 89.882407 1.643519 0.948148 7.525926
36.000000 88.137963 1.922222 1.789815 8.150000
36.500000 89.975000 1.484259 1.327778 7.212963
37.000000 89.695370 1.518519 1.401852 7.384259
37.500000 89.682407 1.473148 1.339815 7.504630
38.000000 90.273148 1.420370 1.059259 7.247222
38.500000 90.386111 1.571296 1.025000 7.017593
39.000000 88.344444 1.860185 1.325926 8.469444
39.500000 87.323148 2.013889 1.333333 9.329630
40.000000 88.109259 2.146296 1.822222 7.922222
