# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
0.000000 100.000000 0.000000 0.000000 0.000000
5.000000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
15.000000 99.822338 0.000000 0.000000 0.177662
15.250000 72.814005 1.592708 2.173958 23.419329
15.500000 79.570370 2.379514 2.416088 15.634028
15.750000 81.985417 2.270370 2.300926 13.443287
16.000000 83.568403 2.219560 2.300000 11.912037
16.250000 84.796991 2.214352 2.208796 10.779861
16.500000 85.857523 2.123148 2.045833 9.973495
16.750000 86.668750 1.999769 1.936458 9.395023
17.000000 87.471528 1.921644 1.817824 8.789005
17.250000 87.903588 1.868981 1.759838 8.467593
17.500000 88.233449 1.828704 1.727662 8.210185
17.750000 88.428472 1.798264 1.770602 8.002662
18.000000 88.629745 1.748843 1.740162 7.881250
18.250000 88.834722 1.726273 1.740278 7.698727
18.500000 88.868171 1.728704 1.704514 7.698611
18.750000 88.952894 1.707292 1.671412 7.668403
19.000000 88.969560 1.686458 1.659491 7.684491
19.250000 89.086111 1.667130 1.610648 7.636111
19.500000 89.057407 1.703588 1.571412 7.667593
19.750000 89.083102 1.695833 1.543981 7.677083
20.000000 89.402083 1.758218 1.352199 7.487500
25.000000 89.105556 1.830208 1.523727 7.540509
30.000000 89.547222 1.801042 1.309954 7.341782
35.000000 88.457755 1.867361 1.515162 8.159722
40.000000 87.894213 2.160301 1.525810 8.419676
