# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
0.000000 100.000000 0.000000 0.000000 0.000000
2.500000 100.000000 0.000000 0.000000 0.000000
5.000000 100.000000 0.000000 0.000000 0.000000
7.500000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
12.500000 100.000000 0.000000 0.000000 0.000000
15.000000 99.853704 0.000000 0.000000 0.146296
15.050000 99.811111 0.000000 0.000000 0.188889
15.100000 99.775926 0.000000 0.000000 0.224074
15.150000 99.750000 0.000000 0.000000 0.250000
15.200000 99.719444 0.000000 0.000000 0.280556
15.250000 99.600000 0.000000 0.000000 0.400000
15.300000 99.355556 0.000000 0.000000 0.644444
15.350000 99.049074 0.000000 0.000000 0.950926
15.400000 97.313889 0.000926 0.000000 2.685185
15.450000 91.221296 0.023148 0.020370 8.735185
15.500000 79.429630 0.098148 0.195370 20.276852
15.550000 72.532407 0.616667 0.878704 25.972222
15.600000 69.502778 1.488889 1.857407 27.150926
15.650000 68.893519 2.272222 2.531481 26.302778
15.700000 69.899074 2.574074 2.590741 24.936111
15.750000 70.660185 2.837963 2.801852 23.700000
15.800000 71.733333 2.823148 2.756481 22.687037
15.850000 72.482407 2.770370 2.683333 22.063889
15.900000 73.204630 2.844444 2.647222 21.303704
15.950000 73.820370 2.742593 2.664815 20.772222
16.000000 74.332407 2.598148 2.640741 20.428704
16.050000 74.852778 2.633333 2.609259 19.904630
16.100000 75.284259 2.825926 2.431481 19.458333
16.150000 75.627778 2.864815 2.571296 18.936111
16.200000 76.043519 2.838889 2.457407 18.660185
16.250000 76.263889 2.868519 2.380556 18.487037
16.300000 76.610185 2.765741 2.411111 18.212963
16.350000 76.922222 2.845370 2.400926 17.831481
16.400000 77.192593 2.847222 2.475926 17.484259
16.450000 77.445370 2.828704 2.489815 17.236111
16.500000 77.827778 2.827778 2.408333 16.936111
16.550000 77.915741 2.815741 2.364815 16.903704
16.600000 77.988889 2.825926 2.401852 16.783333
16.650000 78.248148 2.787963 2.386111 16.577778
16.700000 78.425926 2.895370 2.413889 16.264815
16.750000 78.606481 2.837037 2.346296 16.210185
16.800000 78.751852 2.784259 2.324074 16.139815
16.850000 79.002778 2.800000 2.239815 15.957407
16.900000 79.159259 2.770370 2.308333 15.762037
16.950000 79.175926 2.752778 2.266667 15.804630
17.000000 79.251852 2.719444 2.288889 15.739815
17.050000 79.301852 2.765741 2.282407 15.650000
17.100000 79.493519 2.734259 2.291667 15.480556
17.150000 79.545370 2.675000 2.148148 15.631481
17.200000 79.652778 2.745370 2.195370 15.406481
17.250000 79.739815 2.691667 2.150926 15.417593
17.300000 79.934259 2.569444 2.225926 15.270370
17.350000 80.110185 2.581481 2.187963 15.120370
17.400000 80.418519 2.533333 2.101852 14.946296
17.450000 80.583333 2.494444 2.046296 14.875926
17.500000 80.896296 2.373148 2.098148 14.632407
17.550000 81.116667 2.326852 2.092593 14.463889
17.600000 81.414815 2.332407 2.069444 14.183333
17.650000 81.450926 2.342593 2.125000 14.081481
17.700000 81.606481 2.360185 2.118519 13.914815
17.750000 81.697222 2.412037 2.073148 13.817593
17.800000 81.840741 2.404630 2.149074 13.605556
17.850000 81.859259 2.421296 2.105556 13.613889
17.900000 82.001852 2.411111 2.150000 13.437037
17.950000 81.944444 2.475926 2.212037 13.367593
18.000000 82.005556 2.447222 2.229630 13.317593
18.050000 82.104630 2.557407 2.183333 13.154630
18.100000 82.188889 2.499074 2.239815 13.072222
18.150000 82.280556 2.477778 2.206481 13.035185
18.200000 82.369444 2.475926 2.213889 12.940741
18.250000 82.390741 2.446296 2.243519 12.919444
18.300000 82.576852 2.451852 2.187963 12.783333
18.350000 82.586111 2.457407 2.252778 12.703704
18.400000 82.733333 2.432407 2.232407 12.601852
18.450000 82.882407 2.371296 2.208333 12.537963
18.500000 83.008333 2.337037 2.175000 12.479630
18.550000 83.175000 2.378704 2.182407 12.263889
18.600000 83.273148 2.347222 2.097222 12.282407
18.650000 83.294444 2.375926 2.140741 12.188889
18.700000 83.426852 2.375926 2.068519 12.128704
18.750000 83.522222 2.259259 2.100000 12.118519
18.800000 83.453704 2.304630 2.062037 12.179630
18.850000 83.599074 2.319444 2.060185 12.021296
18.900000 83.643519 2.241667 2.100000 12.014815
18.950000 83.787963 2.246296 2.119444 11.846296
19.000000 83.756481 2.194444 2.210185 11.838889
19.050000 83.762037 2.185185 2.188889 11.863889
19.100000 83.793519 2.206481 2.212037 11.787963
19.150000 83.849074 2.206481 2.176852 11.767593
19.200000 83.962963 2.166667 2.234259 11.636111
19.250000 83.977778 2.212963 2.236111 11.573148
19.300000 84.022222 2.201852 2.150000 11.625926
19.350000 83.957407 2.193519 2.178704 11.670370
19.400000 84.003704 2.165741 2.133333 11.697222
19.450000 84.225000 2.186111 2.070370 11.518519
19.500000 84.308333 2.128704 2.033333 11.529630
19.550000 84.416667 2.104630 2.029630 11.449074
19.600000 84.434259 2.116667 1.985185 11.463889
19.650000 84.458333 2.146296 2.008333 11.387037
19.700000 84.510185 2.138889 2.069444 11.281481
19.750000 84.554630 2.154630 2.025926 11.264815
19.800000 84.599074 2.125000 2.037963 11.237963
19.850000 84.736111 2.087037 2.066667 11.110185
19.900000 84.820370 2.048148 2.132407 10.999074
19.950000 84.706481 2.080556 2.099074 11.113889
20.000000 84.834259 2.061111 2.021296 11.083333
22.500000 83.986111 2.026852 2.314815 11.672222
25.000000 84.336111 2.088889 2.196296 11.378704
27.500000 81.908333 2.396296 2.269444 13.425926
30.000000 84.107407 2.763889 1.857407 11.271296
32.500000 84.305556 2.646296 2.099074 10.949074
35.000000 84.407407 2.307407 2.065741 11.219444
37.500000 85.230556 2.439815 2.041667 10.287963
40.000000 82.841667 2.417593 2.370370 12.370370

