# strain(%) HCP(%) FCC(%) BCC(%) Other(%)
0.000000 100.000000 0.000000 0.000000 0.000000
2.5000000 100.000000 0.000000 0.000000 0.000000
5.000000 100.000000 0.000000 0.000000 0.000000
7.500000 100.000000 0.000000 0.000000 0.000000
10.000000 100.000000 0.000000 0.000000 0.000000
12.500000 100.000000 0.000000 0.000000 0.000000
15.000000 99.848700 0.000000 0.000000 0.151300
15.2500000 99.590225 0.000000 0.000000 0.409775
15.500000 88.401525 0.058200 0.114275 11.426000
15.7500000 68.322475 2.222375 3.209025 26.246125
16.000000 71.522700 2.550450 3.305925 22.620925
16.2500000 73.346075 2.630050 3.280200 20.743675
16.500000 74.632025 2.670900 3.194850 19.502225
16.7500000 75.561100 2.669400 3.173400 18.596100
17.000000 76.370175 2.660450 3.120475 17.848900
17.2500000 77.073075 2.646550 3.074375 17.206000
17.500000 77.622125 2.652825 3.015975 16.709075
17.7500000 78.179700 2.613825 2.955200 16.251275
18.000000 78.590375 2.616350 2.899700 15.893575
18.2500000 79.015875 2.616675 2.867275 15.500175
18.500000 79.406525 2.601450 2.841700 15.150325
18.7500000 79.818325 2.580175 2.810850 14.790650
19.000000 80.227725 2.556875 2.732550 14.482850
19.2500000 80.501075 2.526825 2.702325 14.269775
19.5000000 80.814350 2.500200 2.667350 14.018100
19.7500000 81.038575 2.502950 2.636125 13.822350
20.000000 81.327250 2.482425 2.588100 13.602225
22.50000 83.238225 2.449425 2.141125 12.171225
25.000000 83.359000 2.539625 2.116525 11.984850
27.500000 82.951800 2.685500 2.169725 12.192975
30.000000 82.735175 2.750875 2.210525 12.303425
32.500000 82.607525 2.748025 2.228600 12.415850
35.000000 82.138300 2.817175 2.220100 12.824425
37.500000 81.902775 2.923525 2.217375 12.956325
40.000000 81.681950 2.918525 2.226550 13.172975
